fecha,Visitantes totales
2014-12-20,6292
2014-12-21,3762
2014-12-22,10645
2014-12-23,10228
2014-12-24,7015
2014-12-25,1615
2014-12-26,3964
2014-12-27,6785
2014-12-28,3462
2014-12-29,9553
2014-12-30,10217
2014-12-31,7073
2015-01-01,1956
2015-01-02,9553
2015-01-03,6292
2015-01-04,3830
2015-01-05,9152
2015-01-06,2997
2015-01-07,10165
2015-01-08,10600
2015-01-09,10823
2015-01-10,6236
2015-01-11,3580
2015-01-12,11006
2015-01-13,10464
2015-01-14,10630
2015-01-15,10509
2015-01-16,10579
2015-01-17,5687
2015-01-18,3619
2015-01-19,9931
2015-01-20,5417
2015-01-21,10283
2015-01-22,9806
2015-01-23,11088
2015-01-24,6498
2015-01-25,3266
2015-01-26,10276
2015-01-27,10545
2015-01-28,10246
2015-01-29,10576
2015-01-30,10600
2015-01-31,5466
2015-02-01,3227
2015-02-02,10321
2015-02-03,9432
2015-02-04,8730
2015-02-05,8390
2015-02-06,10237
2015-02-07,6518
2015-02-08,4094
2015-02-09,11010
2015-02-10,11507
2015-02-11,11789
2015-02-12,11374
2015-02-13,11959
2015-02-14,7813
2015-02-15,4853
2015-02-16,12589
2015-02-17,11253
2015-02-18,12595
2015-02-19,12838
2015-02-20,13329
2015-02-21,7612
2015-02-22,4721
2015-02-23,13339
2015-02-24,12845
2015-02-25,14118
2015-02-26,13549
2015-02-27,12376
2015-02-28,9109
2015-03-01,12382
2015-03-02,29902
2015-03-03,31187
2015-03-04,31374
2015-03-05,31551
2015-03-06,30910
2015-03-07,17270
2015-03-08,12415
2015-03-09,30915
2015-03-10,31154
2015-03-11,32117
2015-03-12,31915
2015-03-13,31162
2015-03-14,16763
2015-03-15,11521
2015-03-16,30307
2015-03-17,32135
2015-03-18,32554
2015-03-19,32335
2015-03-20,31107
2015-03-21,17873
2015-03-22,10761
2015-03-23,31725
2015-03-24,31261
2015-03-25,30559
2015-03-26,33160
2015-03-27,33036
2015-03-28,19643
2015-03-29,12507
2015-03-30,32818
2015-03-31,33029
2015-04-01,39181
2015-04-02,19642
2015-04-03,15328
2015-04-04,24547
2015-04-05,15397
2015-04-06,18215
2015-04-07,37717
2015-04-08,36530
2015-04-09,36001
2015-04-10,34962
2015-04-11,23609
2015-04-12,15889
2015-04-13,37631
2015-04-14,38060
2015-04-15,39300
2015-04-16,40764
2015-04-17,37597
2015-04-18,24941
2015-04-19,16559
2015-04-20,38653
2015-04-21,38883
2015-04-22,42819
2015-04-23,38705
2015-04-24,39312
2015-04-25,28123
2015-04-26,18340
2015-04-27,42265
2015-04-28,42573
2015-04-29,42402
2015-04-30,41635
2015-05-01,23481
2015-05-02,27483
2015-05-03,20774
2015-05-04,43662
2015-05-05,46723
2015-05-06,45073
2015-05-07,43401
2015-05-08,41745
2015-05-09,26266
2015-05-10,22000
2015-05-11,44189
2015-05-12,46609
2015-05-13,47520
2015-05-14,45957
2015-05-15,53421
2015-05-16,36913
2015-05-17,22774
2015-05-18,45103
2015-05-19,53056
2015-05-20,60219
2015-05-21,53507
2015-05-22,46226
2015-05-23,30705
2015-05-24,25153
2015-05-25,46330
2015-05-26,58267
2015-05-27,51500
2015-05-28,45927
2015-05-29,48770
2015-05-30,33599
2015-05-31,26846
2015-06-01,48967
2015-06-02,50570
2015-06-03,49990
2015-06-04,48652
2015-06-05,48648
2015-06-06,34255
2015-06-07,26647
2015-06-08,49908
2015-06-09,50929
2015-06-10,50648
2015-06-11,55529
2015-06-12,58289
2015-06-13,33704
2015-06-14,25317
2015-06-15,51287
2015-06-16,60006
2015-06-17,52098
2015-06-18,49754
2015-06-19,50041
2015-06-20,38215
2015-06-21,28669
2015-06-22,51827
2015-06-23,56628
2015-06-24,51626
2015-06-25,51475
2015-06-26,49679
2015-06-27,36100
2015-06-28,27093
2015-06-29,50608
2015-06-30,50368
2015-07-01,50604
2015-07-02,49285
2015-07-03,48982
2015-07-04,36429
2015-07-05,27558
2015-07-06,51530
2015-07-07,51481
2015-07-08,51629
2015-07-09,56255
2015-07-10,50861
2015-07-11,39831
2015-07-12,30256
2015-07-13,54024
2015-07-14,54945
2015-07-15,54639
2015-07-16,52566
2015-07-17,53855
2015-07-18,43119
2015-07-19,32138
2015-07-20,52984
2015-07-21,55799
2015-07-22,54013
2015-07-23,53122
2015-07-24,53714
2015-07-25,50762
2015-07-26,32750
2015-07-27,55123
2015-07-28,60572
2015-07-29,52151
2015-07-30,60137
2015-07-31,42471
2015-08-01,60690
2015-08-02,30940
2015-08-03,51802
2015-08-04,57610
2015-08-05,52357
2015-08-06,53635
2015-08-07,53769
2015-08-08,43331
2015-08-09,36650
2015-08-10,56439
2015-08-11,54962
2015-08-12,54597
2015-08-13,54241
2015-08-14,56969
2015-08-15,51691
2015-08-16,31363
2015-08-17,63119
2015-08-18,63515
2015-08-19,50682
2015-08-20,50236
2015-08-21,50843
2015-08-22,43958
2015-08-23,36886
2015-08-24,54850
2015-08-25,54863
2015-08-26,53010
2015-08-27,52581
2015-08-28,51224
